enterprise,short name,full name,industry name,industry code
1,浙江震元,浙江震元股份有限公司,批发业,F51
2,新华制药,山东新华制药股份有限公司,医药制造业,C27
3,重药控股,重药控股股份有限公司,批发业,F51
4,恩华药业,江苏恩华药业股份有限公司,医药制造业,C27
5,嘉事堂,嘉事堂药业股份有限公司,批发业,F51
6,鹭燕医药,鹭燕医药股份有限公司,批发业,F51
7,楚天科技,楚天科技股份有限公司,专用设备制造业,C27
8,金石东方,四川金石东方新材料设备股份有限公司,医药制造业,C27
9,山河药辅,安徽山河药用辅料股份有限公司,医药制造业,C27
10,贝达药业,贝达药业股份有限公司,医药制造业,C27
11,百洋医药,青岛百洋医药股份有限公司,批发业,F51
12,多瑞医药,西藏多瑞医药股份有限公司,医药制造业,C27
13,西点药业,吉林省西点药业科技发展股份有限公司,医药制造业,C27
14,人福医药,人福医药集团股份公司,医药制造业,C27
15,华鲁恒升,山东华鲁恒升化工股份有限公司,化学原料及化学制品制造业,C26
16,华海药业,浙江华海药业股份有限公司,医药制造业,C27
17,南京医药,南京医药股份有限公司,零售业,F52
18,九州通,九州通医药集团股份有限公司,批发业,F51
19,上海医药,上海医药集团股份有限公司,零售业,F52
20,九洲药业,浙江九洲药业股份有限公司,医药制造业,C27
21,微芯生物,深圳微芯生物科技股份有限公司,医药制造业,C27
22,荣昌生物,荣昌生物制药(烟台)股份有限公司,医药制造业,C27
23,悦康药业,悦康药业集团股份有限公司,医药制造业,C27
24,梓橦宫,四川梓橦宫药业股份有限公司,医药制造业,C27
25,德源药业,江苏德源药业股份有限公司,医药制造业,C27
26,一诺威,山东一诺威聚氨酯股份有限公司,化学原料及化学制品制造业,C26
27,大唐药业,内蒙古大唐药业股份有限公司,医药制造业,C27
28,三元基因,北京三元基因药业股份有限公司,医药制造业,C27
29,合佳医药,河北合佳医药科技集团股份有限公司,化学原料及化学制品制造业,C26
30,亳药千草,安徽亳药千草国药股份有限公司,医药制造业,C27
